nb_bad	norm_load	approxh1	approxh2	h1	h2
2	0.19385863835549708	0.012485325336456299	0.013022432327270508	0.009097890853881836	0.008643112182617187
3	0.2580947033416486	0.01627660036087036	0.016650607585906984	0.012716963291168212	0.011534645557403564
4	0.3331591552011874	0.019150781631469726	0.018544065952301025	0.01549306869506836	0.014587202072143556
5	0.314389700125975	0.02318140983581543	0.022846999168395995	0.01789997100830078	0.015983283519744873
7	0.38153033530946723	0.030089240074157714	0.03212575674057007	0.02974637508392334	0.025201644897460938
8	0.43120454027028543	0.03197272777557373	0.03150867223739624	0.030541069507598877	0.0260595703125
10	0.4493252379245689	0.044569823741912845	0.04271859645843506	0.04177733182907104	0.03601937294006348
12	0.5156691494352009	0.05228896141052246	0.05222599744796753	0.04819295883178711	0.04407907247543335
16	0.5450028998521952	0.07573131799697876	0.0694119119644165	0.06553571224212647	0.05872368335723877
20	0.5914257900078522	0.10667492389678955	0.09897064208984375	0.08679010391235352	0.07552635192871093
30	0.6385418401617917	0.18195926904678345	0.16746120452880858	0.1365581750869751	0.11791084051132202
40	0.7083113950434623	0.28870244026184083	0.2654363441467285	0.19876129865646364	0.1801915431022644
50	0.7239615957140224	0.3872466850280762	0.3673183345794678	0.2779802203178406	0.24394402980804444
60	0.763277183610157	0.49949877500534057	0.4423470163345337	0.3270223307609558	0.2975408911705017
65	0.8022609715657247	0.561221776008606	0.4903599953651428	0.36560874938964844	0.3294407534599304
